cum_ret,short,long,short1,long2,lg-sh,lg2-sh2
34.08752139752700,2,5,70,225,3,155
34.06328643618260,2,5,50,275,3,225
33.714698418263200,2,5,170,200,3,30
33.692419006606100,2,5,50,225,3,175
33.639534361098000,2,5,50,350,3,300
33.636693910011300,2,5,150,225,3,75
33.49142548454470,2,5,50,375,3,325
33.0682843482605,2,5,160,200,3,40
32.98117471660690,2,5,170,175,3,5
32.88347606049330,2,5,150,200,3,50
32.84623323349290,2,5,130,225,3,95
32.82442505583940,2,5,50,400,3,350
32.79749931394830,2,5,60,325,3,265
32.74847167608700,2,5,50,250,3,200
32.7375745699257,2,5,80,250,3,170
32.639531546939500,2,5,90,250,3,160
32.55685577264490,2,5,120,225,3,105
32.47680385208800,2,5,60,225,3,165
32.44434327455920,2,5,60,350,3,290
32.38232675399980,2,5,70,200,3,130
32.34312147781850,2,5,60,300,3,240
32.25367474139630,2,5,60,375,3,315
32.219416931431500,2,5,140,225,3,85
32.2075546863963,2,5,50,425,3,375
32.11682745589540,2,5,50,300,3,250
32.08291957565040,2,5,50,175,3,125
32.01796278962560,2,5,70,250,3,180
31.969374067067300,2,5,90,225,3,135
31.748053006045800,2,5,170,225,3,55
31.55944994034250,2,5,60,250,3,190
31.54802868574430,2,5,50,200,3,150
31.48834614929540,2,5,160,225,3,65
31.431754802888700,2,5,50,325,3,275
31.391733067408600,2,5,80,225,3,145
31.36244890331900,2,5,50,500,3,450
31.30074420328030,2,5,180,225,3,45
31.3003855534016,2,5,60,275,3,215
31.273548944501800,2,5,60,200,3,140
31.224941092484700,2,5,100,225,3,125
31.177236589792700,2,5,70,275,3,205
31.063647164799200,2,5,50,475,3,425
31.062639065532700,2,5,90,300,3,210
31.017360950908600,2,5,50,450,3,400
30.99626030667290,2,5,80,275,3,195
30.942623837079800,2,5,180,200,3,20
30.91625299934350,2,5,200,500,3,300
30.828728439605700,2,5,60,425,3,365
30.693790721645400,2,5,60,175,3,115
30.568835286386400,2,5,130,250,3,120
30.524451965870400,2,5,160,175,3,15
30.419792848509200,2,5,200,475,3,275
30.363032600841500,2,5,70,375,3,305
30.351393336282100,2,5,60,400,3,340
30.321887253907300,2,5,120,250,3,130
30.3120054322842,2,5,140,250,3,110
30.27953859865540,2,5,160,325,3,165
30.25759545463790,2,5,50,150,3,100
30.250569127087600,2,5,90,275,3,185
30.22171846016690,2,5,70,350,3,280
30.202831650858200,2,5,90,350,3,260
30.119314179126900,2,5,170,325,3,155
30.0801850770308,2,5,70,300,3,230
30.057417124307000,2,5,190,475,3,285
29.977781178597500,2,5,100,250,3,150
29.950982734538700,2,5,190,500,3,310
29.928689358444900,2,5,190,200,3,10
29.926712522004500,2,5,70,325,3,255
29.905911191401100,2,5,50,100,3,50
29.753003137515600,2,5,80,350,3,270
29.72502156675910,2,5,110,175,3,65
29.70235943677260,2,5,140,275,3,135
29.6712923467544,2,5,170,350,3,180
29.634644274836200,2,5,160,300,3,140
29.627411157393600,2,5,110,225,3,115
29.618670355735600,2,5,100,300,3,200
29.60731267796650,2,5,120,450,3,330
29.59325800662810,2,5,180,500,3,320
29.55819118068380,2,5,170,400,3,230
29.544933855270500,2,5,100,450,3,350
29.515532790946600,2,5,70,175,3,105
29.488612235647200,2,5,160,350,3,190
29.44371907475090,2,5,90,400,3,310
29.43057835643900,2,5,200,300,3,100
29.413334240477600,2,5,110,250,3,140
29.409095440968300,2,5,140,200,3,60
29.405730815685800,2,5,170,300,3,130
29.390572141673600,2,5,90,500,3,410
29.381497909802100,2,5,170,250,3,80
29.36077562772290,2,5,70,500,3,430
29.304456125846100,2,5,100,500,3,400
29.253614647955900,2,5,90,475,3,385
29.228873830502600,2,5,100,275,3,175
29.1530547501377,2,5,60,150,3,90
29.147484997178600,2,5,80,300,3,220
29.089234388664400,2,5,100,325,3,225
29.012047524524800,2,5,160,500,3,340
28.990832498997000,2,5,100,475,3,375
28.989093711851800,2,5,80,375,3,295
28.98248567317470,2,5,200,450,3,250
28.95980199353480,2,5,160,425,3,265
28.946076879082600,2,5,150,350,3,200
28.94180796296950,2,5,110,200,3,90
28.937363701582400,2,5,190,225,3,35
28.853639781137500,2,5,120,275,3,155
28.80545054327980,2,5,80,200,3,120
28.80406159141060,2,5,70,475,3,405
28.79471178753960,2,5,90,325,3,235
28.775303656135400,2,5,90,450,3,360
28.773469929776200,2,5,90,375,3,285
28.765744408993400,2,5,160,400,3,240
28.758344947605500,2,5,50,125,3,75
28.752376980446600,2,5,70,450,3,380
28.744912322820800,2,5,170,375,3,205
28.74451539896670,2,5,130,200,3,70
28.739376336383300,2,5,130,400,3,270
28.721006375593300,2,5,120,150,3,30
28.699540312230800,2,5,180,325,3,145
28.605399133127700,2,5,130,150,3,20
28.595169534038800,2,5,60,500,3,440
28.58872193055920,2,5,170,500,3,330
28.546386011876300,2,5,70,425,3,355
28.541182143584900,2,5,200,325,3,125
28.537836029572200,2,5,200,225,3,25
28.529858707384000,2,5,150,325,3,175
28.52810000622160,2,5,110,275,3,165
28.48487587174060,2,5,170,475,3,305
28.48186759639410,2,5,160,275,3,115
28.47334184631070,2,5,60,475,3,415
28.46137563381960,2,5,190,450,3,260
28.456160432223600,2,5,190,325,3,135
28.45386326181970,2,5,100,425,3,325
28.437948816260000,2,5,120,200,3,80
28.41869805172640,2,5,80,450,3,370
28.410150457975800,2,5,120,500,3,380
28.408998272679400,2,5,150,250,3,100
28.408938782194200,2,5,180,475,3,295
28.40563618417290,2,5,180,300,3,120
28.331818062112800,2,5,160,250,3,90
28.308683353964300,2,5,120,475,3,355
28.28407328190580,2,5,80,325,3,245
28.277465120214700,2,5,70,400,3,330
28.254576972120200,2,5,120,425,3,305
28.240594829267100,2,5,110,500,3,390
28.224757834678300,2,5,150,500,3,350
28.215006408732600,2,5,110,450,3,340
28.177753272358700,2,5,170,425,3,255
28.14488982125640,2,5,80,500,3,420
28.088679891810000,2,5,100,400,3,300
28.071687844168000,2,5,120,400,3,280
28.065543410347600,2,5,150,400,3,250
28.052086342876300,2,5,130,450,3,320
28.01500310863860,2,5,140,300,3,160
28.012915810146500,2,5,100,150,3,50
